OPCODE,Instruction,P1,P2,P3
0,NOP,0,0,0
1,MOV,0,@,0
2,MOV,0,*,0
3,MOV,@,@,0
4,MOV,@,*,0
5,MOV,*,@,0
6,MOV,*,*,0
7,MOV,0,@,@
8,MOV,0,*,@
9,MOV,@,@,@
0A,MOV,@,*,@
0B,MOV,*,@,@
0C,MOV,*,*,@
0D,MOV,0,@,*
0E,MOV,0,*,*
0F,MOV,@,@,*
10,MOV,@,*,*
11,MOV,*,@,*
12,MOV,*,*,*
13,ADD,@,0,@
14,ADD,*,0,@
15,ADD,@,@,@
16,ADD,*,@,@
17,ADD,@,*,@
18,ADD,*,0,*
19,ADD,@,0,*
1A,ADD,*,@,*
1B,ADD,@,@,*
1C,ADD,*,*,*
1D,SUB,@,0,@
1E,SUB,0,@,@
1F,SUB,@,@,@
20,SUB,*,0,@
21,SUB,0,*,@
22,SUB,*,@,@
23,SUB,@,*,@
24,SUB,*,*,@
25,SUB,@,0,*
26,SUB,0,@,*
27,SUB,@,@,*
28,SUB,*,0,*
29,SUB,0,*,*
2A,SUB,*,@,*
2B,SUB,@,*,*
2C,SUB,*,*,*
2D,JEQ,@,0,0
2E,JEQ,@,@,0
2F,JEQ,*,0,0
30,JEQ,*,@,0
31,JEQ,*,*,0
32,JEQ,@,0,@
33,JEQ,@,@,@
34,JEQ,*,0,@
35,JEQ,*,@,@
36,JEQ,*,*,@
37,JEQ,@,0,*
38,JEQ,@,@,*
39,JEQ,*,0,*
3A,JEQ,*,@,*
3B,JEQ,*,*,*
3C,MUL,@,0,@
3D,MUL,@,@,@
3E,MUL,*,0,@
3F,MUL,*,@,@
40,MUL,*,*,@
41,MUL,@,0,*
42,MUL,@,@,*
43,MUL,*,0,*
44,MUL,*,@,*
45,MUL,*,*,*
46,DIV,@,0,@
47,DIV,0,@,@
48,DIV,@,@,@
49,DIV,*,0,@
4A,DIV,*,@,@
4B,DIV,@,*,@
4C,DIV,*,*,@
4D,DIV,@,0,*
4E,DIV,0,@,*
4F,DIV,@,@,*
50,DIV,*,0,*
51,DIV,*,@,*
52,DIV,@,*,*
53,DIV,*,*,*
54,JMP,0,,
55,JMP,@,,
56,JMP,*,,
57,JGR,0,@,0
58,JGR,@,0,0
59,JGR,@,@,0
5A,JGR,@,*,0
5B,JGR,*,0,0
5C,JGR,*,@,0
5D,JGR,*,*,0
5E,JGR,0,@,@
5F,JGR,@,0,@
60,JGR,@,@,@
61,JGR,@,*,@
62,JGR,*,0,@
63,JGR,*,@,@
64,JGR,*,*,@
65,JGR,0,@,*
66,JGR,@,0,*
67,JGR,@,@,*
68,JGR,@,*,*
69,JGR,*,0,*
6A,JGR,*,@,*
6B,JGR,*,*,*
6C,PIX,0,0,
6D,PIX,0,@,
6E,PIX,0,*,
6F,PIX,@,0,
70,PIX,@,@,
71,PIX,@,*,
72,PIX,*,0,
73,PIX,*,@,
74,PIX,*,*,
75,FLP,@,@,0
76,FLP,*,@,0
77,FLP,*,*,0
78,FLP,@,@,@
79,FLP,*,@,@
7A,FLP,*,*,@
7B,FLP,@,@,*
7C,FLP,*,@,*
7D,FLP,*,*,*
7E,THR,0,,
7F,THR,@,,
80,THR,*,,
81,MOD,@,0,@
82,MOD,0,@,@
83,MOD,@,@,@
84,MOD,*,0,@
85,MOD,0,*,@
86,MOD,*,@,@
87,MOD,@,*,@
88,MOD,*,*,@
89,MOD,@,0,*
8A,MOD,0,@,*
8B,MOD,@,@,*
8C,MOD,*,0,*
8D,MOD,0,*,*
8E,MOD,*,@,*
8D,MOD,@,*,*
90,MOD,*,*,*
91,JNE,@,0,0
92,JNE,@,@,0
93,JNE,*,0,0
94,JNE,*,@,0
95,JNE,*,*,0
96,JNE,@,0,@
97,JNE,@,@,@
98,JNE,*,0,@
99,JNE,*,@,@
9A,JNE,*,*,@
9B,JNE,@,0,*
9C,JNE,@,@,*
9D,JNE,*,0,*
9E,JNE,*,@,*
9F,JNE,*,*,*
A0,DIV,0,*,@
A1,DIV,0,*,*
